Global Step 737: Val Loss = 2.0370585918426514, Val Accuracy = 0.30870863795280457
Global Step 740: Train Loss = 1.7216436862945557, Train Accuracy = 0.3828125
Global Step 750: Train Loss = 1.6818768978118896, Train Accuracy = 0.3671875
Global Step 760: Train Loss = 1.7588679790496826, Train Accuracy = 0.359375
Global Step 770: Train Loss = 1.8316653966903687, Train Accuracy = 0.328125
Global Step 780: Train Loss = 1.7166194915771484, Train Accuracy = 0.3515625
Global Step 790: Train Loss = 1.8037245273590088, Train Accuracy = 0.359375
Global Step 800: Train Loss = 1.8492156267166138, Train Accuracy = 0.3046875
Global Step 804: Val Loss = 2.071012258529663, Val Accuracy = 0.31165748834609985
Global Step 810: Train Loss = 1.7775529623031616, Train Accuracy = 0.328125
Global Step 820: Train Loss = 1.6598865985870361, Train Accuracy = 0.3984375
Global Step 830: Train Loss = 1.7668241262435913, Train Accuracy = 0.40625
Global Step 840: Train Loss = 1.8754212856292725, Train Accuracy = 0.328125
Global Step 850: Train Loss = 1.6419305801391602, Train Accuracy = 0.3984375
Global Step 860: Train Loss = 1.6643019914627075, Train Accuracy = 0.3671875
Global Step 870: Train Loss = 1.7592920064926147, Train Accuracy = 0.36486485600471497
Global Step 871: Val Loss = 2.114047050476074, Val Accuracy = 0.307253360748291
Global Step 880: Train Loss = 1.7985659837722778, Train Accuracy = 0.3125
Global Step 890: Train Loss = 1.9307607412338257, Train Accuracy = 0.328125
Global Step 900: Train Loss = 1.69749116897583, Train Accuracy = 0.3671875
Global Step 910: Train Loss = 1.7185536623001099, Train Accuracy = 0.3828125
Global Step 920: Train Loss = 1.8669052124023438, Train Accuracy = 0.2578125
Global Step 930: Train Loss = 1.6089503765106201, Train Accuracy = 0.40625
Global Step 938: Val Loss = 2.076242208480835, Val Accuracy = 0.301393985748291
Global Step 940: Train Loss = 1.7513062953948975, Train Accuracy = 0.375
Global Step 950: Train Loss = 1.753158450126648, Train Accuracy = 0.3671875
Global Step 960: Train Loss = 1.609879970550537, Train Accuracy = 0.390625
Global Step 970: Train Loss = 1.7467560768127441, Train Accuracy = 0.3203125
Global Step 980: Train Loss = 1.8076595067977905, Train Accuracy = 0.296875
Global Step 990: Train Loss = 1.7779215574264526, Train Accuracy = 0.34375
Global Step 1000: Train Loss = 1.8718302249908447, Train Accuracy = 0.2578125
Global Step 1005: Val Loss = 2.0223777294158936, Val Accuracy = 0.306276798248291
Global Step 1005: Test Loss = 2.3726916313171387, Test Accuracy = 0.80078125
Global Step 1005: Test Loss = 2.3332128524780273, Test Accuracy = 0.4296875
Global Step 1005: Test Loss = 2.339799642562866, Test Accuracy = 0.0
Global Step 1005: Test Loss = 1.0539354085922241, Test Accuracy = 0.7265625
Global Step 1005: Test Loss = 1.8316482305526733, Test Accuracy = 0.34375
Global Step 1005: Test Loss = 2.4533355236053467, Test Accuracy = 0.0
Global Step 1005: Test Loss = 2.3673017024993896, Test Accuracy = 0.0
Global Step 1005: Test Loss = 1.987470030784607, Test Accuracy = 0.23828125
Global Step 1005: Test Loss = 1.6665619611740112, Test Accuracy = 0.40234375
Global Step 1005: Test Loss = 2.3042428493499756, Test Accuracy = 0.046875
Global Step 1005: Test Loss = 2.430835485458374, Test Accuracy = 0.0
Global Step 1005: Test Loss = 2.450759172439575, Test Accuracy = 0.0
Global Step 1005: Test Loss = 2.4655921459198, Test Accuracy = 0.0
Global Step 1005: Test Loss = 2.1745810508728027, Test Accuracy = 0.140625
Global Step 1005: Test Loss = 0.982277512550354, Test Accuracy = 0.703125
Global Step 1005: Test Loss = 1.197261095046997, Test Accuracy = 0.6117647290229797
